province,fire
Trà Vinh,0
Phú Thọ,0
Cà Mau,0
Thanh Hoá,0
Ninh Thuận,0
Hồ Chí Minh,0
Quảng Nam,2
Bình Định,8
Bắc Giang,0
Đồng Nai,0
Bắc Kạn,0
Nghệ An,0
Bình Thuận,1
Tiền Giang,0
Đắk Nông,0
Quảng Trị,0
Long An,0
Điện Biên,0
Lai Châu,0
Quảng Ngãi,3
Hà Tĩnh,0
Thái Nguyên,0
Đồng Tháp,0
Sóc Trăng,0
Lâm Đồng,1
Khánh Hòa,2
Kiên Giang,0
Thừa Thiên Huế,1
Quảng Ninh,1
Bến Tre,0
Gia Lai,1
Vĩnh Phúc,0
Lào Cai,0
Hưng Yên,0
Bà Rịa-Vũng Tàu,0
Phú Yên,4
Cao Bằng,0
Hải Phòng,0
Tuyên Quang,0
Đắk Lắk,0
Hải Dương,0
Kon Tum,0
Bạc Liêu,0
Đà Nẵng,0
Hòa Bình,1
Hà Giang,0
Thái Bình,0
Lạng Sơn,1
Sơn La,0
Cần Thơ,0
Vĩnh Long,0
Ninh Bình,0
Quảng Bình,3
Hậu Giang,0
Hà Nội,0
Bắc Ninh,0
Bình Phước,0
Hà Nam,0
Tây Ninh,0
Bình Dương,0
Nam Định,0
Yên Bái,0
An Giang,0
