,province,fire
0,Trà Vinh,0
1,Phú Thọ,0
2,Cà Mau,3
3,Thanh Hoá,4
4,Ninh Thuận,2
5,TP. Hồ Chí Minh,1
6,Quảng Nam,3
7,Bình Định,2
8,Bắc Giang,0
9,Đồng Nai,6
10,Bắc Kạn,0
11,Nghệ An,3
12,Bình Thuận,33
13,Tiền Giang,0
14,Đắk Nông,69
15,Quảng Trị,0
16,Long An,0
17,Điện Biên,18
18,Lai Châu,4
19,Quảng Ngãi,2
20,Hà Tĩnh,0
21,Thái Nguyên,0
22,Đồng Tháp,0
23,Sóc Trăng,0
24,Lâm Đồng,45
25,Khánh Hoà,1
26,Kiên Giang,5
27,Thừa Thiên - Huế,1
28,Quảng Ninh,8
29,Bến Tre,0
30,Gia Lai,76
31,Vĩnh Phúc,0
32,Lào Cai,0
33,Hưng Yên,0
34,Bà Rịa - Vũng Tàu,0
35,Phú Yên,1
36,Cao Bằng,0
37,Hải Phòng,0
38,Tuyên Quang,0
39,Đắk Lắk,273
40,Hải Dương,0
41,Kon Tum,101
42,Bạc Liêu,0
43,Đà Nẵng,0
44,Hoà Bình,2
45,Hà Giang,0
46,Thái Bình,0
47,Lạng Sơn,0
48,Sơn La,10
49,Cần Thơ,0
50,Vĩnh Long,0
51,Ninh Bình,0
52,Quảng Bình,3
53,Hậu Giang,0
54,Hà Nội,0
55,Bắc Ninh,0
56,Bình Phước,10
57,Hà Nam,0
58,Tây Ninh,0
59,Bình Dương,0
60,Nam Định,0
61,Yên Bái,0
62,An Giang,0
